Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,23,OKC,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.095,-0.3,-2.2,-2.5,-0.1,,,,,,,,,,,,,,,,,,,,,,
2,Quincy Acy\acyqu01,PF,26,TOT,38,558,11.8,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,.082,-1.8,-1.2,-3.0,-0.1,,,,,,,,,,,,,,,,,,,,,,
3,Steven Adams\adamsst01,C,23,OKC,80,2389,16.5,.589,.002,.392,13.0,15.5,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.4,.130,-0.7,1.2,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,
4,Arron Afflalo\afflaar01,SG,31,SAC,61,1580,9.0,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,.043,-1.4,-2.0,-3.5,-0.6,,,,,,,,,,,,,,,,,,,,,,
5,Alexis Ajinca\ajincal01,C,28,NOP,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-5.1,1.0,-4.1,-0.3,,,,,,,,,,,,,,,,,,,,,,
6,Cole Aldrich\aldrico01,C,28,MIN,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.0,2.6,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,72,2335,18.6,.532,.053,.258,8.6,16.6,12.7,9.9,1.0,3.1,7.7,24.5,3.5,3.7,7.3,.149,-0.3,1.4,1.1,1.8,,,,,,,,,,,,,,,,,,,,,,
8,Lavoy Allen\allenla01,PF,27,IND,61,871,11.6,.485,.006,.196,13.7,14.6,14.2,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,1.3,-0.3,0.4,,,,,,,,,,,,,,,,,,,,,,
9,Tony Allen\allento01,SG,35,MEM,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-1.8,2.4,0.7,1.3,,,,,,,,,,,,,,,,,,,,,,
10,Al-Farouq Aminu\aminual01,SF,26,POR,61,1773,11.3,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,.051,-2.3,1.2,-1.1,0.4,,,,,,,,,,,,,,,,,,,,,,
11,Chris Andersen\anderch01,C,38,CLE,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,.102,-3.8,3.0,-0.9,0.0,,,,,,,,,,,,,,,,,,,,,,
12,Alan Anderson\anderal01,SF,34,LAC,30,308,5.0,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,.020,-2.6,-2.3,-4.9,-0.2,,,,,,,,,,,,,,,,,,,,,,
13,Justin Anderson\anderju01,SF,23,TOT,75,1228,13.9,.537,.442,.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,.074,-1.2,-0.3,-1.6,0.1,,,,,,,,,,,,,,,,,,,,,,
14,Kyle Anderson\anderky01,SG,23,SAS,72,1020,12.5,.525,.191,.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,.127,-2.1,3.7,1.6,0.9,,,,,,,,,,,,,,,,,,,,,,
15,Ryan Anderson\anderry01,PF,28,HOU,72,2116,13.5,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,.118,1.8,-2.6,-0.8,0.6,,,,,,,,,,,,,,,,,,,,,,
16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,.210,4.1,3.5,7.6,6.9,,,,,,,,,,,,,,,,,,,,,,
17,Carmelo Anthony\anthoca01,SF,32,NYK,74,2538,17.9,.535,.303,.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,.089,1.5,-2.2,-0.7,0.8,,,,,,,,,,,,,,,,,,,,,,
18,Joel Anthony\anthojo01,C,34,SAS,19,122,11.6,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,0.1,0.2,0.4,.141,-3.1,2.5,-0.6,0.0,,,,,,,,,,,,,,,,,,,,,,
19,Trevor Ariza\arizatr01,SF,31,HOU,80,2773,12.3,.548,.695,.158,2.1,15.9,9.0,8.8,2.5,0.6,8.0,14.1,2.8,3.2,6.0,.104,0.7,1.0,1.7,2.6,,,,,,,,,,,,,,,,,,,,,,
20,Darrell Arthur\arthuda01,PF,28,DEN,41,639,12.8,.583,.544,.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,.081,0.3,-0.6,-0.3,0.3,,,,,,,,,,,,,,,,,,,,,,
21,Omer Asik\asikom01,C,30,NOP,31,482,9.8,.517,.000,.600,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1.0,.100,-4.3,1.2,-3.1,-0.1,,,,,,,,,,,,,,,,,,,,,,
22,D.J. Augustin\augusdj01,PG,29,ORL,78,1538,11.0,.524,.530,.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,0.7,0.5,1.2,.038,-0.9,-3.3,-4.2,-0.9,,,,,,,,,,,,,,,,,,,,,,
23,Luke Babbitt\babbilu01,SF,27,MIA,68,1065,8.4,.563,.747,.053,1.3,13.5,7.4,4.8,1.0,0.8,8.0,13.0,0.8,1.0,1.8,.082,-1.0,-0.8,-1.8,0.1,,,,,,,,,,,,,,,,,,,,,,
